Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (VND),Competitive Density,SERP Features
các trò chơi,"Informational, Commercial",6600,"0.45,0.36,0.36,0.36,0.36,0.30,0.30,0.45,0.36,0.36,0.30,1.00",64,528.54,0.53,"Sitelinks, Image pack, Video, Related searches"
các trò chơi dân gian,"Informational, Commercial",4400,"0.54,0.67,1.00,0.81,1.00,1.00,0.81,1.00,1.00,0.67,0.54,0.44",57,264.27,0.20,"Image pack, Video, Related searches"
các loại trò chơi,Informational,1600,"0.20,0.15,0.15,0.15,0.15,0.15,0.15,0.20,0.13,0.15,0.11,1.00",64,1057.08,0.59,"Sitelinks, AI Overview, Image pack, Video, Related searches"
các trò chơi miễn phí,"Informational, Commercial",1600,"0.79,0.67,0.67,0.79,0.67,0.54,0.54,0.67,1.00,0.79,0.79,0.67",63,264.27,0.10,"Sitelinks, Image pack, Video, Related searches, Ads bottom"
các trò chơi team building,"Informational, Commercial",1600,"0.84,0.84,1.00,0.68,0.68,0.53,0.46,0.53,0.46,0.53,0.46,0.46",44,2114.16,0.33,"Sitelinks, Image pack, Video, Related searches, Ads bottom"
các trò chơi dân gian dành cho người lớn,"Informational, Commercial",1300,"1.00,0.68,0.68,0.53,0.46,0.68,0.68,0.53,0.38,0.31,0.25,0.25",52,0.00,0.22,"Sitelinks, Image pack, Video, Related searches"
các trò chơi trên google,Informational,1300,"1.00,1.00,1.00,1.00,0.62,0.81,0.55,0.81,0.55,0.62,0.62,0.62",36,792.81,0.02,"Sitelinks, Image pack, Video, Related searches"
các trò chơi dân gian dành cho phụ nữ,Informational,880,"1.00,1.00,0.81,0.20,0.16,0.24,0.55,0.45,0.13,0.11,0.11,0.07",52,0.00,0.05,"Sitelinks, AI Overview, Image pack, Video, Related searches"
các trò chơi tập thể,"Informational, Commercial",880,"0.59,0.88,1.00,0.88,0.72,0.48,0.32,0.39,0.21,0.21,0.14,0.14",48,264.27,0.33,"Sitelinks, Image pack, Video, Related searches"
các trò chơi dân gian trong trường học,"Informational, Commercial",720,"0.72,0.72,0.88,0.72,0.88,1.00,0.88,0.88,0.72,0.48,0.32,0.32",10,0.00,0.26,"AI Overview, Image pack, Video, Related searches"
các trò chơi dân gian việt nam,"Informational, Commercial",720,"0.21,0.25,0.38,0.46,0.68,0.68,0.68,0.84,1.00,0.68,0.38,0.38",55,264.27,0.21,"Sitelinks, Image pack, Video, Related searches"
các trò chơi gia đình,"Informational, Commercial",720,"0.33,0.33,0.33,1.00,0.33,0.33,0.33,1.00,0.33,0.67,1.00,0.33",16,0.00,0.83,"Sitelinks, Image pack, Video, Related searches"
các trò chơi team building trong nhà,"Informational, Commercial",720,"0.82,0.82,1.00,0.82,0.82,0.67,0.44,0.44,0.36,0.44,0.54,0.44",32,1057.08,0.41,"Sitelinks, Image pack, Video, Related searches"
team building các trò chơi,Informational,590,"1.00,0.67,0.82,0.67,0.54,0.36,0.44,0.36,0.54,1.00,1.00,1.00",32,5549.68,0.19,"Sitelinks, Image pack, Video, Related searches"
tất cả các trò chơi,Informational,590,"0.25,0.31,0.25,0.21,0.17,0.21,0.17,0.25,0.31,0.25,0.17,1.00",68,264.27,0.52,"Sitelinks, Image pack, Video, Related searches, Ads bottom"
